iter	Passed	Remaining
720	54873	21234
721	54948	21157
722	55015	21077
723	55094	21002
724	55179	20930
725	55252	20852
726	55324	20775
727	55393	20696
728	55463	20618
729	55560	20549
730	55642	20475
731	55715	20398
732	55787	20320
733	55859	20243
734	55928	20164
735	55999	20086
736	56078	20011
737	56148	19933
738	56221	19856
739	56291	19777
740	56377	19705
741	56468	19634
742	56538	19556
743	56610	19478
744	56706	19409
745	56782	19333
746	56855	19256
747	56928	19179
748	56996	19100
749	57068	19022
750	57153	18949
751	57255	18882
752	57332	18806
753	57405	18729
754	57474	18650
755	57545	18573
756	57623	18497
757	57695	18420
758	57772	18344
759	57848	18267
760	57931	18193
761	58010	18118
762	58092	18044
763	58174	17970
764	58267	17899
765	58359	17827
766	58426	17748
767	58505	17673
768	58572	17594
769	58651	17519
770	58729	17443
771	58797	17365
772	58879	17290
773	58953	17213
774	59025	17136
775	59109	17062
776	59196	16989
777	59277	16914
778	59350	16837
779	59426	16761
780	59498	16683
781	59585	16610
782	59660	16534
783	59741	16459
784	59816	16382
785	59891	16306
786	59967	16230
787	60033	16151
788	60102	16072
789	60173	15995
790	60244	15917
791	60324	15842
792	60413	15769
793	60481	15691
794	60551	15613
795	60622	15536
796	60690	15458
797	60759	15380
798	60849	15307
799	60937	15234
800	61014	15158
801	61086	15081
802	61167	15006
803	61245	14930
804	61323	14854
805	61397	14777
806	61465	14699
807	61539	14623
808	61619	14547
809	61702	14473
810	61770	14395
811	61847	14319
812	61931	14245
813	62003	14167
814	62075	14090
815	62162	14017
816	62229	13938
817	62306	13862
818	62384	13787
819	62453	13709
820	62534	13634
821	62607	13557
822	62680	13480
823	62753	13403
824	62824	13326
825	62908	13251
826	62982	13175
827	63057	13098
828	63137	13023
829	63209	12946
830	63280	12869
831	63350	12791
832	63423	12715
833	63499	12638
834	63578	12563
835	63653	12487
836	63720	12409
837	63796	12332
838	63867	12255
839	63943	12179
840	64032	12106
841	64112	12030
842	64189	11954
843	64264	11878
844	64336	11801
845	64408	11724
846	64485	11648
847	64558	11571
848	64643	11497
849	64731	11423
850	64803	11346
851	64883	11270
852	64952	11193
853	65024	11116
854	65110	11042
855	65179	10964
856	65252	10888
857	65324	10811
858	65401	10735
859	65493	10661
860	65573	10586
861	65655	10510
862	65731	10434
863	65821	10360
864	65892	10283
865	65973	10208
866	66045	10131
867	66117	10054
868	66211	9981
869	66282	9904
870	66360	9828
871	66434	9751
872	66507	9675
873	66577	9598
874	66647	9521
875	66714	9443
876	66784	9366
877	66857	9290
878	66944	9215
879	67021	9139
880	67096	9062
881	67173	8986
882	67240	8909
883	67308	8832
884	67382	8755
885	67453	8679
886	67527	8602
887	67604	8526
888	67684	8450
889	67766	8375
890	67839	8299
891	67930	8224
892	68005	8148
893	68091	8073
894	68166	7997
895	68238	7920
896	68320	7845
897	68390	7768
898	68471	7692
899	68546	7616
900	68629	7540
901	68699	7464
902	68770	7387
903	68859	7312
904	68933	7236
905	69029	7162
906	69097	7084
907	69170	7008
908	69250	6932
909	69342	6858
910	69430	6783
911	69509	6707
912	69579	6630
913	69653	6553
914	69741	6478
915	69822	6402
916	69899	6326
917	69971	6250
918	70051	6174
919	70124	6097
920	70197	6021
921	70270	5944
922	70353	5869
923	70427	5792
924	70501	5716
925	70572	5639
926	70641	5562
927	70728	5487
928	70796	5410
929	70870	5334
930	70950	5258
931	71029	5182
932	71094	5105
933	71165	5028
934	71240	4952
935	71312	4876
936	71392	4800
937	71478	4724
938	71565	4649
939	71635	4572
940	71709	4496
941	71803	4421
942	71879	4344
943	71947	4268
944	72038	4192
945	72113	4116
946	72191	4040
947	72265	3963
948	72342	3887
949	72417	3811
950	72495	3735
951	72570	3659
952	72640	3582
953	72732	3507
954	72812	3430
955	72895	3355
956	72965	3278
957	73042	3202
958	73117	3125
959	73192	3049
960	73275	2973
961	73343	2897
962	73417	2820
963	73499	2744
964	73573	2668
965	73643	2591
966	73713	2515
967	73788	2439
968	73864	2363
969	73933	2286
970	73999	2210
971	74097	2134
972	74166	2058
973	74243	1981
974	74316	1905
975	74395	1829
976	74466	1753
977	74561	1677
978	74630	1600
979	74697	1524
980	74771	1448
981	74849	1371
982	74924	1295
983	75000	1219
984	75091	1143
985	75170	1067
986	75244	991
987	75326	914
988	75417	838
989	75487	762
990	75563	686
991	75633	609
992	75705	533
993	75770	457
994	75855	381
995	75929	304
996	76001	228
997	76084	152
998	76157	76
999	76225	0
